bin,avg_temperature,BMY_HORIZONTAL_WIND_SPEED,hour,month
2018-12-11 02:15:00,240.24734910620398,10.595786610878662,2,12
2018-12-11 02:30:00,242.72798888888886,10.768310657596372,2,12
2018-12-11 02:45:00,245.34669333333332,11.18330855855856,2,12
2018-12-11 03:00:00,247.19390592592595,9.900207207207208,3,12
2018-12-11 03:15:00,249.46460148148148,9.896824053452116,3,12
2018-12-11 03:30:00,251.14825185185182,10.27199552572707,3,12
2018-12-11 03:45:00,252.72910814814816,9.07266592427617,3,12
2018-12-11 04:00:00,254.7051448632668,8.15146803652968,4,12
2018-12-11 04:15:00,255.82416962962967,8.064966592427616,4,12
2018-12-11 04:30:00,256.25353629629626,10.079633333333334,4,12
2018-12-11 04:45:00,257.1403511111111,8.569472160356348,4,12
2018-12-11 05:00:00,258.11930592592597,8.92418,5,12
2018-12-11 05:15:00,258.2826362962963,8.375185682326622,5,12
2018-12-11 05:30:00,258.29772222222226,9.43562222222222,5,12
2018-12-11 05:45:00,258.29539777777774,10.456977777777778,5,12
2018-12-11 06:00:00,258.24057037037034,8.55109090909091,6,12
2018-12-11 06:15:00,257.54078296296296,9.378077777777778,6,12
2018-12-11 06:30:00,256.2718274074074,8.820586666666667,6,12
2018-12-11 06:45:00,255.59669925925925,9.53532,6,12
2018-12-11 07:00:00,253.49306666666666,10.266824444444444,7,12
2018-12-11 07:15:00,252.09097407407407,8.924766666666667,7,12
2018-12-11 07:30:00,249.6686288888889,10.75176,7,12
2018-12-11 07:45:00,247.15687111111114,9.377128888888889,7,12
2018-12-11 08:00:00,244.36469333333335,8.963391111111111,8,12
2018-12-11 08:15:00,240.6236585185185,9.030295555555556,8,12
2018-12-11 08:30:00,236.80519851851852,7.173984444444445,8,12
2018-12-11 08:45:00,232.1004577777778,7.06698,8,12
2018-12-11 09:00:00,227.39871555555555,6.7227394209354125,9,12
2018-12-11 09:15:00,222.81948370370375,6.533155555555556,9,12
2018-12-11 09:30:00,218.8662251851852,6.307180000000001,9,12
2018-12-11 09:45:00,215.51434296296296,6.319246428571428,9,12
2018-12-11 15:00:00,193.9609035369775,6.794475884244372,15,12
2018-12-11 15:15:00,193.3205562962963,6.435608888888889,15,12
2018-12-11 15:30:00,192.4313822222222,5.823331111111111,15,12
2018-12-11 15:45:00,191.63279777777777,5.768086666666667,15,12
2018-12-11 16:00:00,191.02573037037038,6.052966666666666,16,12
2018-12-11 16:15:00,190.62747037037036,5.837897777777778,16,12
2018-12-11 16:30:00,189.84717703703703,5.373171111111112,16,12
2018-12-11 16:45:00,188.7090437037037,4.541231707317073,16,12
2018-12-11 20:30:00,183.80617703703706,4.324766816143498,20,12
2018-12-11 20:45:00,182.88131111111113,3.9518533333333337,20,12
2018-12-11 21:00:00,182.37870814814812,4.17172,21,12
2018-12-11 21:15:00,181.6828661551577,3.788095,21,12
2018-12-11 23:15:00,194.7120659259259,3.526,23,12
2018-12-11 23:30:00,198.5440103703704,5.127273504273504,23,12
2018-12-11 23:45:00,202.54190888888888,4.959586466165414,23,12
2018-12-12 00:00:00,206.29318222222219,5.210078947368421,0,12
2018-12-12 00:15:00,210.00028296296296,6.2975,0,12
2018-12-12 00:30:00,213.3156888888889,7.531169665809768,0,12
2018-12-12 00:45:00,216.84768740740742,7.04864587973274,0,12
2018-12-12 01:00:00,219.71679259259258,6.21213953488372,1,12
2018-12-12 01:15:00,223.87764074074073,5.400830663615561,1,12
2018-12-12 01:30:00,228.0817103703704,4.268890160183067,1,12
2018-12-12 01:45:00,230.48362592592594,5.358119909502263,1,12
2018-12-12 02:00:00,235.5278659259259,3.0466978922716628,2,12
2018-12-12 02:15:00,239.2709133333333,5.655351230425056,2,12
2018-12-12 02:30:00,241.0770703703704,4.857957446808511,2,12
2018-12-12 02:45:00,248.2807185185185,2.400286458333333,2,12
2018-12-12 03:00:00,248.05885037037038,5.869232183908046,3,12
2018-12-12 03:15:00,249.2524288888889,3.651605263157895,3,12
2018-12-12 03:30:00,254.38108296296298,4.613047120418848,3,12
2018-12-12 03:45:00,252.70146074074077,4.866321621621622,3,12
2018-12-12 04:00:00,255.08877925925924,5.775093167701863,4,12
2018-12-12 04:15:00,256.14966444444445,5.0768360655737705,4,12
2018-12-12 04:30:00,257.64545629629635,5.29016461916462,4,12
2018-12-12 04:45:00,258.96251185185184,6.129662591687042,4,12
2018-12-12 05:00:00,264.2343881481481,5.125222627737226,5,12
2018-12-12 05:15:00,261.6154940740741,7.037201814058957,5,12
2018-12-12 05:30:00,261.9009540740741,6.307948905109489,5,12
2018-12-12 05:45:00,262.9096325925926,5.821993150684931,5,12
2018-12-12 06:00:00,262.7152177777778,5.936464285714286,6,12
2018-12-12 06:15:00,262.4432762962963,7.127143661971831,6,12
2018-12-12 06:30:00,261.7131422222222,6.768794392523364,6,12
2018-12-12 06:45:00,261.89947777777775,6.009640909090909,6,12
2018-12-12 07:00:00,260.93422740740743,7.26808,7,12
2018-12-12 07:15:00,259.3846148148148,6.786813333333333,7,12
2018-12-12 07:30:00,257.46464962962966,7.775539999999999,7,12
2018-12-12 07:45:00,255.80008370370368,7.207313333333333,7,12
2018-12-12 08:00:00,254.2695948148148,5.9450577777777776,8,12
2018-12-12 08:15:00,252.05320814814817,6.2624,8,12
2018-12-12 08:30:00,249.18702222222223,5.785302222222223,8,12
2018-12-12 08:45:00,245.75575851851852,5.640728285077951,8,12
2018-12-12 09:00:00,242.23653481481483,4.513915555555555,9,12
2018-12-12 09:15:00,237.76920296296296,4.255504444444445,9,12
2018-12-12 09:30:00,232.41480592592595,4.9763866666666665,9,12
