bin,avg_temperature,BMY_HORIZONTAL_WIND_SPEED,mars_hour_of_sol,mars_season,mars_year,seasonally_adjusted_temp,seasonally_adjusted_wind
2018-12-11 02:15:00,240.24734910620398,10.595786610878662,0,0,0,239.34366741663632,10.613098302333984
2018-12-11 02:30:00,242.72798888888886,10.768310657596372,0,0,0,241.8243071993212,10.785622349051692
2018-12-11 02:45:00,245.34669333333332,11.18330855855856,0,0,0,244.44301164376566,11.20062025001388
2018-12-11 03:00:00,247.19390592592595,9.900207207207208,0,0,0,246.29022423635828,9.917518898662529
2018-12-11 03:15:00,249.46460148148148,9.896824053452116,0,0,0,248.56091979191382,9.914135744907437
2018-12-11 03:30:00,251.14825185185182,10.27199552572707,0,0,0,250.24457016228416,10.28930721718239
2018-12-11 03:45:00,252.72910814814816,9.07266592427617,0,0,0,251.8254264585805,9.089977615731492
2018-12-11 04:00:00,254.7051448632668,8.15146803652968,0,0,0,253.80146317369915,8.168779727985001
2018-12-11 04:15:00,255.82416962962967,8.064966592427616,0,0,0,254.920487940062,8.082278283882939
2018-12-11 04:30:00,256.25353629629626,10.079633333333334,0,0,0,255.3498546067286,10.096945024788656
2018-12-11 04:45:00,257.1403511111111,8.569472160356348,0,0,0,256.2366694215434,8.58678385181167
2018-12-11 05:00:00,258.11930592592597,8.92418,0,0,0,257.2156242363583,8.941491691455322
2018-12-11 05:15:00,258.2826362962963,8.375185682326622,0,0,0,257.3789546067286,8.392497373781943
2018-12-11 05:30:00,258.29772222222226,9.43562222222222,0,0,0,257.39404053265457,9.45293391367754
2018-12-11 05:45:00,258.29539777777774,10.456977777777778,0,0,0,257.39171608821005,10.4742894692331
2018-12-11 06:00:00,258.24057037037034,8.55109090909091,0,0,0,257.33688868080264,8.568402600546232
2018-12-11 06:15:00,257.54078296296296,9.378077777777778,0,0,0,256.6371012733953,9.395389469233098
2018-12-11 06:30:00,256.2718274074074,8.820586666666667,0,0,0,255.36814571783972,8.83789835812199
2018-12-11 06:45:00,255.59669925925925,9.53532,0,0,0,254.6930175696916,9.552631691455321
2018-12-11 07:00:00,253.49306666666666,10.266824444444444,0,0,0,252.589384977099,10.284136135899764
2018-12-11 07:15:00,252.09097407407407,8.924766666666667,0,0,0,251.1872923845064,8.94207835812199
2018-12-11 07:30:00,249.6686288888889,10.75176,0,0,0,248.76494719932123,10.769071691455324
2018-12-11 07:45:00,247.15687111111114,9.377128888888889,0,0,0,246.25318942154348,9.39444058034421
2018-12-11 08:00:00,244.36469333333335,8.963391111111111,0,0,0,243.4610116437657,8.980702802566434
2018-12-11 08:15:00,240.6236585185185,9.030295555555556,0,0,0,239.71997682895085,9.047607247010877
2018-12-11 08:30:00,236.80519851851852,7.173984444444445,0,0,0,235.90151682895086,7.1912961358997665
2018-12-11 08:45:00,232.1004577777778,7.06698,0,0,0,231.19677608821013,7.084291691455322
2018-12-11 09:00:00,227.39871555555555,6.7227394209354125,0,0,0,226.4950338659879,6.740051112390734
2018-12-11 09:15:00,222.81948370370375,6.533155555555556,0,0,0,221.9158020141361,6.550467247010878
2018-12-11 09:30:00,218.8662251851852,6.307180000000001,0,0,0,217.96254349561752,6.324491691455322
2018-12-11 09:45:00,215.51434296296296,6.319246428571428,0,0,0,214.6106612733953,6.33655812002675
2018-12-11 15:00:00,193.9609035369775,6.794475884244372,0,0,0,193.05722184740983,6.811787575699694
2018-12-11 15:15:00,193.3205562962963,6.435608888888889,0,0,0,192.41687460672864,6.452920580344211
2018-12-11 15:30:00,192.4313822222222,5.823331111111111,0,0,0,191.52770053265453,5.840642802566433
2018-12-11 15:45:00,191.63279777777777,5.768086666666667,0,0,0,190.7291160882101,5.785398358121989
2018-12-11 16:00:00,191.02573037037038,6.052966666666666,0,0,0,190.12204868080272,6.070278358121988
2018-12-11 16:15:00,190.62747037037036,5.837897777777778,0,0,0,189.7237886808027,5.8552094692331
2018-12-11 16:30:00,189.84717703703703,5.373171111111112,0,0,0,188.94349534746937,5.390482802566433
2018-12-11 16:45:00,188.7090437037037,4.541231707317073,0,0,0,187.80536201413605,4.558543398772395
2018-12-11 20:30:00,183.80617703703706,4.324766816143498,0,0,0,182.9024953474694,4.34207850759882
2018-12-11 20:45:00,182.88131111111113,3.9518533333333337,0,0,0,181.97762942154347,3.9691650247886554
2018-12-11 21:00:00,182.37870814814812,4.17172,0,0,0,181.47502645858046,4.189031691455321
2018-12-11 21:15:00,181.6828661551577,3.788095,0,0,0,180.77918446559005,3.805406691455322
2018-12-11 23:15:00,194.7120659259259,3.526,0,0,0,193.80838423635825,3.5433116914553215
2018-12-11 23:30:00,198.5440103703704,5.127273504273504,0,0,0,197.64032868080272,5.144585195728825
2018-12-11 23:45:00,202.54190888888888,4.959586466165414,0,0,0,201.63822719932122,4.976898157620735
2018-12-12 00:00:00,206.29318222222219,5.210078947368421,0,0,0,205.38950053265452,5.227390638823743
2018-12-12 00:15:00,210.00028296296296,6.2975,0,0,0,209.0966012733953,6.314811691455322
2018-12-12 00:30:00,213.3156888888889,7.531169665809768,0,0,0,212.41200719932124,7.54848135726509
2018-12-12 00:45:00,216.84768740740742,7.04864587973274,0,0,0,215.94400571783976,7.065957571188061
2018-12-12 01:00:00,219.71679259259258,6.21213953488372,0,0,0,218.81311090302492,6.229451226339042
2018-12-12 01:15:00,223.87764074074073,5.400830663615561,0,0,0,222.97395905117307,5.4181423550708825
2018-12-12 01:30:00,228.0817103703704,4.268890160183067,0,0,0,227.17802868080273,4.286201851638388
2018-12-12 01:45:00,230.48362592592594,5.358119909502263,0,0,0,229.57994423635827,5.375431600957585
2018-12-12 02:00:00,235.5278659259259,3.0466978922716628,0,0,0,234.62418423635825,3.0640095837269845
2018-12-12 02:15:00,239.2709133333333,5.655351230425056,24,0,0,238.36723164376565,5.672662921880378
2018-12-12 02:30:00,241.0770703703704,4.857957446808511,24,0,0,240.17338868080273,4.875269138263833
2018-12-12 02:45:00,248.2807185185185,2.400286458333333,24,0,0,247.37703682895085,2.4175981497886547
2018-12-12 03:00:00,248.05885037037038,5.869232183908046,24,0,0,247.15516868080272,5.886543875363368
2018-12-12 03:15:00,249.2524288888889,3.651605263157895,24,0,0,248.34874719932122,3.6689169546132168
